country,Population in thousands (2017),"Population density (per km2, 2017)",GDP: Gross domestic product (million current US$),"GDP growth rate (annual %, const. 2005 prices)",GDP per capita (current US$),Economy: Agriculture (% of GVA),Economy: Industry (% of GVA),Economy: Services and other activity (% of GVA),Unemployment (% of labour force),Agricultural production index (2004-2006=100),Food production index (2004-2006=100),International trade: Exports (million US$),International trade: Imports (million US$),International trade: Balance (million US$),Population growth rate (average annual %),Urban population (% of total population),Urban population growth rate (average annual %),"Fertility rate, total (live births per woman)",Infant mortality rate (per 1000 live births,Health: Physicians (per 1000 pop.),Individuals using the Internet (per 100 inhabitants),CO2 emission estimates (million tons/tons per capita),"Energy production, primary (Petajoules)"
Afghanistan,35530,54.4,20270,-2.4,623.2,23.3,23.3,53.3,8.6,125,125,1458,3568,-2110,3.2,26.7,4,5.3,68.6,0.3,42,63,5
Albania,2930,106.9,11541,2.6,3984.2,22.4,26,51.7,15.8,134,134,1962,4669,-2707,-0.1,57.4,2.2,1.7,14.6,1.3,130,84,36
Algeria,41318,17.3,164779,3.8,4154.1,12.2,37.3,50.5,11.4,160,161,29992,47091,-17099,2,70.7,2.8,3,27.7,...,135,5900,55
American Samoa,56,278.2,-99,-99,-99,-99,-99,-99,...,112,112,-99,-99,-99,-~0.0,87.2,-0.1,2.6,9.6,-99,92,-99,-99
Andorra,77,163.8,2812,0.8,39896.4,0.5,10.8,88.6,-99,-99,-99,100,1355,-1255,-1.6,85.1,0.1,1.2,-99,3.7,13,1,119
Angola,29784,23.9,117955,3,4714.1,6.8,51.2,42,6.6,175,176,21011,8790,12221,3.5,44.1,5,6,65.4,...,146,3902,25
Anguilla,15,165.7,320,2.9,21879.6,2.3,15.7,82,...,-99,-99,2,154,-153,1.2,100,1.2,...,-99,-99,52,0,136
Antigua and Barbuda,102,231.8,1356,4.1,14764.5,1.9,18.3,79.8,...,88,88,61,491,-429,1.1,23.8,-0.9,2.1,9.1,-99,55,-99,84
Argentina,44271,16.2,632343,2.4,14564.5,6,27.8,66.2,6.5,119,119,57733,55610,2124,1,91.8,1,2.3,13.7,3.8,256,3167,85
Armenia,2930,102.9,10529,3,3489.1,19,28.3,52.8,16.6,135,135,1776,3230,-1455,0.3,62.7,-0.1,1.6,13.2,2.8,114,48,46
Aruba,105,584.8,2702,0.1,26005.4,0.5,15.4,84.1,...,-99,-99,95,1117,-1022,0.5,41.5,-0.3,1.8,14.8,-99,32,1,120
Australia,24451,3.2,1230859,2.4,51352.2,2.5,26.5,71.1,5.5,111,111,189630,189406,224,1.5,89.4,1.5,1.9,3.9,3.4,948,15282,222
Austria,8736,106,376967,1,44117.7,1.3,28.3,70.4,6.2,108,108,145503,149299,-3795,0.6,66,0.4,1.4,3.3,5.2,118,505,158
